"TARGET_SPEED","STEERING","SPEED","ANGLE_TO_TRACK_AXIS","TRACK_POSITION","TRACK_EDGE_0","TRACK_EDGE_1","TRACK_EDGE_2","TRACK_EDGE_3","TRACK_EDGE_4","TRACK_EDGE_5","TRACK_EDGE_6","TRACK_EDGE_7","TRACK_EDGE_8","TRACK_EDGE_9","TRACK_EDGE_10","TRACK_EDGE_11","TRACK_EDGE_12","TRACK_EDGE_13","TRACK_EDGE_14","TRACK_EDGE_15","TRACK_EDGE_16","TRACK_EDGE_17","TRACK_EDGE_18","OPPONENT_0","OPPONENT_1","OPPONENT_2","OPPONENT_3","OPPONENT_4","OPPONENT_5","OPPONENT_6","OPPONENT_7","OPPONENT_8"
1,0.1230856628,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1245527148,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1260197668,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1274868188,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1289538708,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1304209228,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1318879748,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1333550268,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1348220788,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
1,0.1362891308,0.05216576825850453,0.01763919327245655,0.333237,3.33382,3.4517,3.85024,4.71618,6.67119,9.75568,12.8957,19.2323,38.3863,200.0,76.2177,38.3221,25.7266,19.4742,13.3253,9.42451,7.69608,6.90077,6.66619,200.0,200.0,200.0,19.9934,30.1887,10.5333,200.0,200.0,200.0
