SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,ACCELERATION,BRAKE,STEERING
172.618,0.763204,-0.0203993,1.42107,1.43796,1.50177,1.62363,1.82818,2.16876,2.77316,4.03548,1,0,0.0
172.816,0.76501,-0.0151469,1.41011,1.42818,1.49303,1.61595,1.82204,2.16538,2.77665,4.06242,1,0,0.0
173.013,0.766261,-0.0098502,1.40251,1.42181,1.48785,1.61217,1.82028,2.16734,2.78714,4.10078,1,0,0.0
173.211,0.766881,-0.00456732,1.39873,1.41931,1.48671,1.61276,1.82349,2.17525,2.80553,4.15185,1,0,0.0
173.408,0.7668,0.000674,1.3992,1.42111,1.49008,1.61824,1.83224,2.18982,2.83272,4.21717,1,0,0.0
173.604,0.766045,0.00586302,1.40376,1.42705,1.49779,1.62843,1.84637,2.21094,2.8687,4.29692,1,0,0.0
173.801,0.764498,0.0109995,1.41309,1.43787,1.5106,1.64423,1.86688,2.23977,2.91499,4.39393,1,0,0.0
173.997,0.762235,0.0160902,1.42677,1.45309,1.52811,1.66515,1.89325,2.27582,2.97112,4.50771,1,0,0.0
174.193,0.759109,0.0211437,1.44566,1.47368,1.55125,1.69226,1.9268,2.32066,3.03924,4.6422,1,0,0.0
174.39,0.755313,0.026172,1.46863,1.49843,1.57884,1.7243,1.96605,2.37263,3.11729,4.79467,1,0,0.0
174.586,0.750651,0.0311807,1.49683,1.52856,1.61217,1.7627,2.0127,2.43378,3.2082,4.97044,1,0,0.0
174.781,0.745143,0.0361765,1.53015,1.56401,1.65115,1.80737,2.06669,2.50416,3.31208,5.17052,1,0,0.0
174.976,0.73894,0.0411642,1.5677,1.60383,1.69484,1.85731,2.1269,2.58243,3.42748,5.39313,1,0,0.0
175.172,0.731867,0.0461462,1.61052,1.64912,1.74443,1.91386,2.19487,2.67057,3.55705,5.64383,1,0,0.0
175.367,0.72392,0.0511249,1.65866,1.69995,1.79997,1.9771,2.27077,2.76884,3.70142,5.92457,1,0,0.0
175.563,0.715286,0.056104,1.711,1.75517,1.86028,2.04573,2.35316,2.87556,3.85859,6.23325,1,0,0.0
175.757,0.705772,0.0610831,1.76869,1.81601,1.92668,2.12126,2.44377,2.99293,4.03162,6.57656,1,0,0.0
175.952,0.695381,0.0660623,1.83176,1.88245,1.99919,2.20372,2.5427,3.1212,4.2212,6.95737,1,0,0.0
176.146,0.684258,0.0710433,1.89929,1.95365,2.07689,2.29213,2.64892,3.25908,4.42589,7.37507,1,0,0.0
176.34,0.67229,0.0760263,1.97202,2.03032,2.1606,2.38744,2.76344,3.40806,4.6479,7.83605,1,0,0.0
176.536,0.659434,0.0810102,2.05019,2.11273,2.25063,2.48996,2.8868,3.56881,4.8886,8.34556,1,0,0.0
176.729,0.645826,0.085995,2.13303,2.20013,2.34612,2.59886,3.01801,3.74024,5.14682,8.90491,1,0,0.0
176.923,0.631383,0.0909813,2.22099,2.29298,2.44769,2.71478,3.15787,3.92348,5.42449,9.52186,1,0,0.0
177.116,0.616051,0.0959681,2.31447,2.39172,2.55577,2.83825,3.30712,4.11954,5.72351,10.2053,1,0,0.0
177.309,0.599927,0.100955,2.41289,2.49574,2.66973,2.96861,3.46496,4.3276,6.04313,10.9604,1,0,0.0
177.502,0.583008,0.105943,2.51625,2.6051,2.78966,3.10599,3.63168,4.54811,6.38466,11.7649,1,0,0.0
177.697,0.565193,0.110931,2.6252,2.72044,2.91631,3.25127,3.80832,4.78259,6.75077,12.5082,1,0,0.0
